adid, bedrooms, city, price, transaction_type, subtype, zipcode, adresse, surface, type_prop, etat, facades, surface_terrain, garden, garden_surface, terrasse, terrasse_surface, piscine, nombre_chambres, garage, surface_habitable, meuble, salles_de_bain, toilettes, cuisine_equipee, cheminee
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
RAW63959,2,Wuustwezel,310000,Sale,Maison,2990, Lage Baan 3  ,158,House,None,None,232,Oui,None,None,None,None,2,Oui,158,None,1,None,Non équipée,None
RAW62354,4,Tervuren,949000,Sale,Villa,3080, Vossenlaan 30  ,225,House,None,None,700,Oui,None,None,None,None,4,Oui,225,Non,2,None,Equipée,Oui
RAW62256,3,Harelbeke,325000,Sale,Maison,8530, Elfde Julistraat 13  ,None,House,None,2,None,None,None,None,None,None,3,Non,None,None,1,2,None,None
RAW61933,6,Aalst,1950000,Sale,Maison de maître,9300, Keizersplein 49  ,857,House,None,None,545,None,None,None,None,None,6,Oui,857,None,4,None,None,None
RAW60048,3,Handzame,0,Sale,Maison,8610, Schoolwegel 3  ,None,House,None,4,493,None,None,None,None,None,3,Non,None,None,None,2,None,None
RAW60045,3,Koekelare,324000,Sale,Maison,8680, Middelstraat 4  ,None,House,None,3,493,None,None,None,None,None,3,Non,None,None,1,1,None,None
RAW60036,2,Bissegem,245000,Sale,Maison,8501, Heulsestraat 67  ,132,House,None,2,290,None,None,None,None,None,2,Oui,132,None,1,None,Equipée,None
RAW59956,5,Oudenaarde,640000,Sale,Maison,9700, Huttegem 61  ,434,House,None,None,1639,None,None,None,None,None,5,Oui,434,None,2,2,None,None
RAW59658,2,Houtem,240000,Sale,Maison,8630, Dorpsstraat 47  ,115,House,None,None,180,Oui,None,Oui,None,None,2,Non,115,None,1,2,Equipée,None
RAW58467,3,Rijkevorsel,279000,Sale,Maison,2310, Meerblok 11  ,112,House,None,4,700,Oui,588,None,None,None,3,Oui,112,Non,1,1,None,None
RAW57780,4,Boechout,525000,Sale,Maison,2530, Zwaluwstraat 29  ,150,House,None,None,293,Oui,None,None,None,None,4,Oui,150,Non,1,2,None,None
VAR50266,3,Saint-Servais,229000,Sale,Maison,5002,None,135,House,None,2,142,None,None,None,None,None,3,Non,135,Oui,3,3,Semi-équipée,None
RAW57254,4,Kortrijk,269000,Sale,Maison,8500, Deken Camerlyncklaan 1  ,236,House,None,3,130,None,None,None,None,None,4,Oui,236,None,1,2,Equipée,None
VWC95883,2,Wangenies,189000,Sale,Maison,6220,None,198,House,None,2,490,None,None,None,None,Non,2,Oui,198,Non,None,None,None,Non
RAW56011,3,Hoboken,295000,Sale,Maison,2660, Berkenrodelei 140  ,200,House,None,None,None,Oui,65,Oui,10,None,3,Non,200,Non,1,2,Equipée,Non
RAW55944,4,Roeselare,275000,Sale,Maison,8800, Stationsdreef 26  ,216,House,None,2,200,None,None,None,None,None,4,Non,216,Non,1,2,None,None
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
RAW63959,2,Wuustwezel,310000,Sale,Maison,2990, Lage Baan 3  ,158,House,None,None,232,Oui,None,None,None,None,2,Oui,158,None,1,None,Non équipée,None
RAW62354,4,Tervuren,949000,Sale,Villa,3080, Vossenlaan 30  ,225,House,None,None,700,Oui,None,None,None,None,4,Oui,225,Non,2,None,Equipée,Oui
RAW62256,3,Harelbeke,325000,Sale,Maison,8530, Elfde Julistraat 13  ,None,House,None,2,None,None,None,None,None,None,3,Non,None,None,1,2,None,None
RAW61933,6,Aalst,1950000,Sale,Maison de maître,9300, Keizersplein 49  ,857,House,None,None,545,None,None,None,None,None,6,Oui,857,None,4,None,None,None
RAW60048,3,Handzame,0,Sale,Maison,8610, Schoolwegel 3  ,None,House,None,4,493,None,None,None,None,None,3,Non,None,None,None,2,None,None
RAW60045,3,Koekelare,324000,Sale,Maison,8680, Middelstraat 4  ,None,House,None,3,493,None,None,None,None,None,3,Non,None,None,1,1,None,None
RAW60036,2,Bissegem,245000,Sale,Maison,8501, Heulsestraat 67  ,132,House,None,2,290,None,None,None,None,None,2,Oui,132,None,1,None,Equipée,None
RAW59956,5,Oudenaarde,640000,Sale,Maison,9700, Huttegem 61  ,434,House,None,None,1639,None,None,None,None,None,5,Oui,434,None,2,2,None,None
RAW59658,2,Houtem,240000,Sale,Maison,8630, Dorpsstraat 47  ,115,House,None,None,180,Oui,None,Oui,None,None,2,Non,115,None,1,2,Equipée,None
RAW58467,3,Rijkevorsel,279000,Sale,Maison,2310, Meerblok 11  ,112,House,None,4,700,Oui,588,None,None,None,3,Oui,112,Non,1,1,None,None
RAW57780,4,Boechout,525000,Sale,Maison,2530, Zwaluwstraat 29  ,150,House,None,None,293,Oui,None,None,None,None,4,Oui,150,Non,1,2,None,None
VAR50266,3,Saint-Servais,229000,Sale,Maison,5002,None,135,House,None,2,142,None,None,None,None,None,3,Non,135,Oui,3,3,Semi-équipée,None
RAW57254,4,Kortrijk,269000,Sale,Maison,8500, Deken Camerlyncklaan 1  ,236,House,None,3,130,None,None,None,None,None,4,Oui,236,None,1,2,Equipée,None
VWC95883,2,Wangenies,189000,Sale,Maison,6220,None,198,House,None,2,490,None,None,None,None,Non,2,Oui,198,Non,None,None,None,Non
RAW56011,3,Hoboken,295000,Sale,Maison,2660, Berkenrodelei 140  ,200,House,None,None,None,Oui,65,Oui,10,None,3,Non,200,Non,1,2,Equipée,Non
RAW55944,4,Roeselare,275000,Sale,Maison,8800, Stationsdreef 26  ,216,House,None,2,200,None,None,None,None,None,4,Non,216,Non,1,2,None,None
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
RAW63959,2,Wuustwezel,310000,Sale,Maison,2990, Lage Baan 3  ,158,House,None,None,232,Oui,None,None,None,None,2,Oui,158,None,1,None,Non équipée,None
RAW62354,4,Tervuren,949000,Sale,Villa,3080, Vossenlaan 30  ,225,House,None,None,700,Oui,None,None,None,None,4,Oui,225,Non,2,None,Equipée,Oui
RAW62256,3,Harelbeke,325000,Sale,Maison,8530, Elfde Julistraat 13  ,None,House,None,2,None,None,None,None,None,None,3,Non,None,None,1,2,None,None
RAW61933,6,Aalst,1950000,Sale,Maison de maître,9300, Keizersplein 49  ,857,House,None,None,545,None,None,None,None,None,6,Oui,857,None,4,None,None,None
RAW60048,3,Handzame,0,Sale,Maison,8610, Schoolwegel 3  ,None,House,None,4,493,None,None,None,None,None,3,Non,None,None,None,2,None,None
RAW60045,3,Koekelare,324000,Sale,Maison,8680, Middelstraat 4  ,None,House,None,3,493,None,None,None,None,None,3,Non,None,None,1,1,None,None
RAW60036,2,Bissegem,245000,Sale,Maison,8501, Heulsestraat 67  ,132,House,None,2,290,None,None,None,None,None,2,Oui,132,None,1,None,Equipée,None
RAW59956,5,Oudenaarde,640000,Sale,Maison,9700, Huttegem 61  ,434,House,None,None,1639,None,None,None,None,None,5,Oui,434,None,2,2,None,None
RAW59658,2,Houtem,240000,Sale,Maison,8630, Dorpsstraat 47  ,115,House,None,None,180,Oui,None,Oui,None,None,2,Non,115,None,1,2,Equipée,None
RAW58467,3,Rijkevorsel,279000,Sale,Maison,2310, Meerblok 11  ,112,House,None,4,700,Oui,588,None,None,None,3,Oui,112,Non,1,1,None,None
RAW57780,4,Boechout,525000,Sale,Maison,2530, Zwaluwstraat 29  ,150,House,None,None,293,Oui,None,None,None,None,4,Oui,150,Non,1,2,None,None
VAR50266,3,Saint-Servais,229000,Sale,Maison,5002,None,135,House,None,2,142,None,None,None,None,None,3,Non,135,Oui,3,3,Semi-équipée,None
RAW57254,4,Kortrijk,269000,Sale,Maison,8500, Deken Camerlyncklaan 1  ,236,House,None,3,130,None,None,None,None,None,4,Oui,236,None,1,2,Equipée,None
VWC95883,2,Wangenies,189000,Sale,Maison,6220,None,198,House,None,2,490,None,None,None,None,Non,2,Oui,198,Non,None,None,None,Non
RAW56011,3,Hoboken,295000,Sale,Maison,2660, Berkenrodelei 140  ,200,House,None,None,None,Oui,65,Oui,10,None,3,Non,200,Non,1,2,Equipée,Non
RAW55944,4,Roeselare,275000,Sale,Maison,8800, Stationsdreef 26  ,216,House,None,2,200,None,None,None,None,None,4,Non,216,Non,1,2,None,None
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
RAW63959,2,Wuustwezel,310000,Sale,Maison,2990, Lage Baan 3  ,158,House,None,None,232,Oui,None,None,None,None,2,Oui,158,None,1,None,Non équipée,None
RAW62354,4,Tervuren,949000,Sale,Villa,3080, Vossenlaan 30  ,225,House,None,None,700,Oui,None,None,None,None,4,Oui,225,Non,2,None,Equipée,Oui
RAW62256,3,Harelbeke,325000,Sale,Maison,8530, Elfde Julistraat 13  ,None,House,None,2,None,None,None,None,None,None,3,Non,None,None,1,2,None,None
RAW61933,6,Aalst,1950000,Sale,Maison de maître,9300, Keizersplein 49  ,857,House,None,None,545,None,None,None,None,None,6,Oui,857,None,4,None,None,None
RAW60048,3,Handzame,0,Sale,Maison,8610, Schoolwegel 3  ,None,House,None,4,493,None,None,None,None,None,3,Non,None,None,None,2,None,None
RAW60045,3,Koekelare,324000,Sale,Maison,8680, Middelstraat 4  ,None,House,None,3,493,None,None,None,None,None,3,Non,None,None,1,1,None,None
RAW60036,2,Bissegem,245000,Sale,Maison,8501, Heulsestraat 67  ,132,House,None,2,290,None,None,None,None,None,2,Oui,132,None,1,None,Equipée,None
RAW59956,5,Oudenaarde,640000,Sale,Maison,9700, Huttegem 61  ,434,House,None,None,1639,None,None,None,None,None,5,Oui,434,None,2,2,None,None
RAW59658,2,Houtem,240000,Sale,Maison,8630, Dorpsstraat 47  ,115,House,None,None,180,Oui,None,Oui,None,None,2,Non,115,None,1,2,Equipée,None
RAW58467,3,Rijkevorsel,279000,Sale,Maison,2310, Meerblok 11  ,112,House,None,4,700,Oui,588,None,None,None,3,Oui,112,Non,1,1,None,None
RAW57780,4,Boechout,525000,Sale,Maison,2530, Zwaluwstraat 29  ,150,House,None,None,293,Oui,None,None,None,None,4,Oui,150,Non,1,2,None,None
VAR50266,3,Saint-Servais,229000,Sale,Maison,5002,None,135,House,None,2,142,None,None,None,None,None,3,Non,135,Oui,3,3,Semi-équipée,None
RAW57254,4,Kortrijk,269000,Sale,Maison,8500, Deken Camerlyncklaan 1  ,236,House,None,3,130,None,None,None,None,None,4,Oui,236,None,1,2,Equipée,None
VWC95883,2,Wangenies,189000,Sale,Maison,6220,None,198,House,None,2,490,None,None,None,None,Non,2,Oui,198,Non,None,None,None,Non
RAW56011,3,Hoboken,295000,Sale,Maison,2660, Berkenrodelei 140  ,200,House,None,None,None,Oui,65,Oui,10,None,3,Non,200,Non,1,2,Equipée,Non
RAW55944,4,Roeselare,275000,Sale,Maison,8800, Stationsdreef 26  ,216,House,None,2,200,None,None,None,None,None,4,Non,216,Non,1,2,None,None
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
RAW63959,2,Wuustwezel,310000,Sale,Maison,2990, Lage Baan 3  ,158,House,None,None,232,Oui,None,None,None,None,2,Oui,158,None,1,None,Non équipée,None
RAW62354,4,Tervuren,949000,Sale,Villa,3080, Vossenlaan 30  ,225,House,None,None,700,Oui,None,None,None,None,4,Oui,225,Non,2,None,Equipée,Oui
RAW62256,3,Harelbeke,325000,Sale,Maison,8530, Elfde Julistraat 13  ,None,House,None,2,None,None,None,None,None,None,3,Non,None,None,1,2,None,None
RAW61933,6,Aalst,1950000,Sale,Maison de maître,9300, Keizersplein 49  ,857,House,None,None,545,None,None,None,None,None,6,Oui,857,None,4,None,None,None
